道路编号,自增ID,车流量,道路名称,日期,
4.0,86,3.7,延安路,2020-03-09 00:00:00,
4.0,87,3.6,延安路,2020-03-10 00:00:00,
4.0,88,3.3,延安路,2020-03-11 00:00:00,
4.0,89,1.7,延安路,2020-03-12 00:00:00,
4.0,90,2.1,延安路,2020-03-13 00:00:00,
4.0,91,3.9,延安路,2020-03-14 00:00:00,
4.0,92,1.7,延安路,2020-03-15 00:00:00,
4.0,93,3.1,延安路,2020-03-16 00:00:00,
4.0,94,3.6,延安路,2020-03-17 00:00:00,
4.0,95,2.5,延安路,2020-03-18 00:00:00,
4.0,96,2.8,延安路,2020-03-19 00:00:00,
4.0,97,2.4,延安路,2020-03-20 00:00:00,
4.0,98,2.4,延安路,2020-03-21 00:00:00,
4.0,99,3.2,延安路,2020-03-22 00:00:00,
5.0,100,2.4,环城西路,2020-03-03 00:00:00,
5.0,101,3.6,环城西路,2020-03-04 00:00:00,
5.0,102,1.6,环城西路,2020-03-05 00:00:00,
5.0,103,3.3,环城西路,2020-03-06 00:00:00,
5.0,104,2.8,环城西路,2020-03-07 00:00:00,
5.0,105,2.4,环城西路,2020-03-08 00:00:00,
5.0,106,2.4,环城西路,2020-03-09 00:00:00,
5.0,107,3.3,环城西路,2020-03-10 00:00:00,
5.0,108,2.8,环城西路,2020-03-11 00:00:00,
5.0,109,2.6,环城西路,2020-03-12 00:00:00,
5.0,110,3.3,环城西路,2020-03-13 00:00:00,
5.0,111,2.3,环城西路,2020-03-14 00:00:00,
5.0,112,2.8,环城西路,2020-03-15 00:00:00,
5.0,113,2.9,环城西路,2020-03-16 00:00:00,
5.0,114,2,环城西路,2020-03-17 00:00:00,
5.0,115,2.5,环城西路,2020-03-18 00:00:00,
5.0,116,2.7,环城西路,2020-03-19 00:00:00,
5.0,117,2.1,环城西路,2020-03-20 00:00:00,
5.0,118,3.2,环城西路,2020-03-21 00:00:00,
5.0,119,3.3,环城西路,2020-03-22 00:00:00,
6.0,120,3.1,武林路,2020-03-03 00:00:00,
6.0,121,1.8,武林路,2020-03-04 00:00:00,
6.0,122,3,武林路,2020-03-05 00:00:00,
6.0,123,3.2,武林路,2020-03-06 00:00:00,
6.0,124,3.1,武林路,2020-03-07 00:00:00,
6.0,125,2,武林路,2020-03-08 00:00:00,
6.0,126,1.6,武林路,2020-03-09 00:00:00,
6.0,127,3.3,武林路,2020-03-10 00:00:00,
6.0,128,2.7,武林路,2020-03-11 00:00:00,
6.0,129,1.9,武林路,2020-03-12 00:00:00,
6.0,130,2.7,武林路,2020-03-13 00:00:00,
6.0,131,3.9,武林路,2020-03-14 00:00:00,
6.0,132,2.3,武林路,2020-03-15 00:00:00,
6.0,133,3.4,武林路,2020-03-16 00:00:00,
6.0,134,3.6,武林路,2020-03-17 00:00:00,
6.0,135,3.9,武林路,2020-03-18 00:00:00,
6.0,136,2.1,武林路,2020-03-19 00:00:00,
6.0,137,2.6,武林路,2020-03-20 00:00:00,
6.0,138,2.5,武林路,2020-03-21 00:00:00,
6.0,139,3.1,武林路,2020-03-22 00:00:00,
7.0,140,1.9,体育场路,2020-03-03 00:00:00,
7.0,141,3.7,体育场路,2020-03-04 00:00:00,
7.0,142,3.8,体育场路,2020-03-05 00:00:00,
7.0,143,3.9,体育场路,2020-03-06 00:00:00,
7.0,144,1.5,体育场路,2020-03-07 00:00:00,
7.0,145,2.1,体育场路,2020-03-08 00:00:00,
7.0,146,1.8,体育场路,2020-03-09 00:00:00,
7.0,147,1.5,体育场路,2020-03-10 00:00:00,
7.0,148,3.2,体育场路,2020-03-11 00:00:00,
7.0,149,2.3,体育场路,2020-03-12 00:00:00,
7.0,150,3.1,体育场路,2020-03-13 00:00:00,
7.0,151,2,体育场路,2020-03-14 00:00:00,
7.0,152,1.8,体育场路,2020-03-15 00:00:00,
7.0,153,1.6,体育场路,2020-03-16 00:00:00,
7.0,154,3.4,体育场路,2020-03-17 00:00:00,
7.0,155,3.6,体育场路,2020-03-18 00:00:00,
7.0,156,3.8,体育场路,2020-03-19 00:00:00,
7.0,157,1.8,体育场路,2020-03-20 00:00:00,
7.0,158,3.5,体育场路,2020-03-21 00:00:00,
7.0,159,3.1,体育场路,2020-03-22 00:00:00,
8.0,160,3.4,天目山路,2020-03-03 00:00:00,
8.0,161,1.5,天目山路,2020-03-04 00:00:00,
8.0,162,3.2,天目山路,2020-03-05 00:00:00,
8.0,163,2.8,天目山路,2020-03-06 00:00:00,
8.0,164,2.7,天目山路,2020-03-07 00:00:00,
8.0,165,3.8,天目山路,2020-03-08 00:00:00,
8.0,166,1.9,天目山路,2020-03-09 00:00:00,
8.0,167,3.9,天目山路,2020-03-10 00:00:00,
8.0,168,2.7,天目山路,2020-03-11 00:00:00,
8.0,169,2.8,天目山路,2020-03-12 00:00:00,
8.0,170,2.1,天目山路,2020-03-13 00:00:00,
8.0,171,2.9,天目山路,2020-03-14 00:00:00,
8.0,172,1.9,天目山路,2020-03-15 00:00:00,
8.0,173,1.8,天目山路,2020-03-16 00:00:00,
8.0,174,1.9,天目山路,2020-03-17 00:00:00,
8.0,175,2.4,天目山路,2020-03-18 00:00:00,
8.0,176,2.6,天目山路,2020-03-19 00:00:00,
8.0,177,1.6,天目山路,2020-03-20 00:00:00,
8.0,178,3.8,天目山路,2020-03-21 00:00:00,
8.0,179,2.9,天目山路,2020-03-22 00:00:00,
9.0,180,3.9,德胜快速路,2020-03-03 00:00:00,
9.0,181,2,德胜快速路,2020-03-04 00:00:00,
9.0,182,2,德胜快速路,2020-03-05 00:00:00,
9.0,183,2.5,德胜快速路,2020-03-06 00:00:00,
9.0,184,2.5,德胜快速路,2020-03-07 00:00:00,
9.0,185,3.5,德胜快速路,2020-03-08 00:00:00,
9.0,186,3.7,德胜快速路,2020-03-09 00:00:00,
9.0,187,1.5,德胜快速路,2020-03-10 00:00:00,
9.0,188,2.4,德胜快速路,2020-03-11 00:00:00,
9.0,189,3.5,德胜快速路,2020-03-12 00:00:00,
9.0,190,3.7,德胜快速路,2020-03-13 00:00:00,
9.0,191,1.8,德胜快速路,2020-03-14 00:00:00,
9.0,192,3.9,德胜快速路,2020-03-15 00:00:00,
9.0,193,2.4,德胜快速路,2020-03-16 00:00:00,
9.0,194,1.6,德胜快速路,2020-03-17 00:00:00,
9.0,195,1.8,德胜快速路,2020-03-18 00:00:00,
9.0,196,2.9,德胜快速路,2020-03-19 00:00:00,
9.0,197,2.4,德胜快速路,2020-03-20 00:00:00,
9.0,198,1.7,德胜快速路,2020-03-21 00:00:00,
9.0,199,2.7,德胜快速路,2020-03-22 00:00:00,
10.0,200,1.7,秋涛路,2020-03-03 00:00:00,
10.0,201,3.9,秋涛路,2020-03-04 00:00:00,
10.0,202,2.9,秋涛路,2020-03-05 00:00:00,
10.0,203,1.6,秋涛路,2020-03-06 00:00:00,
10.0,204,2.9,秋涛路,2020-03-07 00:00:00,
10.0,205,3.2,秋涛路,2020-03-08 00:00:00,
10.0,206,3.2,秋涛路,2020-03-09 00:00:00,
10.0,207,2.6,秋涛路,2020-03-10 00:00:00,
10.0,208,2,秋涛路,2020-03-11 00:00:00,
10.0,209,3,秋涛路,2020-03-12 00:00:00,
10.0,210,2.7,秋涛路,2020-03-13 00:00:00,
10.0,211,3,秋涛路,2020-03-14 00:00:00,
10.0,212,3.1,秋涛路,2020-03-15 00:00:00,
10.0,213,2.3,秋涛路,2020-03-16 00:00:00,
10.0,214,3.6,秋涛路,2020-03-17 00:00:00,
10.0,215,1.8,秋涛路,2020-03-18 00:00:00,
10.0,216,1.8,秋涛路,2020-03-19 00:00:00,
10.0,217,2.3,秋涛路,2020-03-20 00:00:00,
10.0,218,2.1,秋涛路,2020-03-21 00:00:00,
10.0,219,2.2,秋涛路,2020-03-22 00:00:00,
11.0,220,3.3,教工路,2020-03-03 00:00:00,
11.0,221,3.3,教工路,2020-03-04 00:00:00,
11.0,222,2.5,教工路,2020-03-05 00:00:00,
11.0,223,3.9,教工路,2020-03-06 00:00:00,
11.0,224,3.2,教工路,2020-03-07 00:00:00,
11.0,225,2.5,教工路,2020-03-08 00:00:00,
11.0,226,1.6,教工路,2020-03-09 00:00:00,
11.0,227,1.7,教工路,2020-03-10 00:00:00,
11.0,228,2,教工路,2020-03-11 00:00:00,
11.0,229,3.5,教工路,2020-03-12 00:00:00,
11.0,230,2.7,教工路,2020-03-13 00:00:00,
11.0,231,1.6,教工路,2020-03-14 00:00:00,
11.0,232,3.2,教工路,2020-03-15 00:00:00,
11.0,233,2.4,教工路,2020-03-16 00:00:00,
11.0,234,3.6,教工路,2020-03-17 00:00:00,
11.0,235,1.9,教工路,2020-03-18 00:00:00,
11.0,236,2,教工路,2020-03-19 00:00:00,
11.0,237,2.9,教工路,2020-03-20 00:00:00,
11.0,238,2.3,教工路,2020-03-21 00:00:00,
11.0,239,3.7,教工路,2020-03-22 00:00:00,
1.0,240,4,环北路,2020-03-21 00:00:00,
2.0,241,1.8,凤起路,2020-03-03 00:00:00,
